league,season,team,player,nation,pos,age,born,matches,starts,minutes,90s,goals,assists,g_a,g_pk,pk,pkatt,yellow_cards,red_cards,goals_90,assists_90,g_a_90,g_pk_90,g_a_pk_90,player_short,player_name,total_injuries,injury_types,injured
ENG-Premier League,2223,Brighton,Pascal Groß,GER,"MF,DF",31,1991,37,37,3239,36.0,9,8,17,9,0,0,6,0,0.25,0.22,0.47,0.25,0.47,P. Groß,,0.0,None,0
ENG-Premier League,2223,Brighton,Pervis Estupiñán,ECU,"DF,MF",24,1998,35,31,2675,29.7,1,5,6,1,0,0,4,0,0.03,0.17,0.2,0.03,0.2,P. Estupiñán,,0.0,None,0
ENG-Premier League,2223,Brighton,Robert Sánchez,ESP,GK,24,1997,23,23,2070,23.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,R. Sánchez,,0.0,None,0
ENG-Premier League,2223,Brighton,Solly March,ENG,MF,28,1994,33,31,2715,30.2,6,7,13,6,0,0,2,0,0.2,0.23,0.43,0.2,0.43,S. March,S. March,34.0,"Thigh Injury, Knee Injury",1
ENG-Premier League,2223,Brighton,Tariq Lamptey,GHA,"DF,MF",21,2000,20,3,453,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,T. Lamptey,T. Lamptey,29.0,"Knee Injury, Injury, Muscle Injury",1
ENG-Premier League,2223,Brighton,Yasin Ayari,SWE,MF,18,2003,3,1,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Y. Ayari,,0.0,None,0
ENG-Premier League,2223,Chelsea,Armando Broja,ALB,FW,20,2001,12,2,294,3.3,1,0,1,1,0,0,0,0,0.31,0.0,0.31,0.31,0.31,A. Broja,A. Broja,33.0,"Injury, Knee Injury",1
ENG-Premier League,2223,Chelsea,Ben Chilwell,ENG,"MF,DF",25,1996,23,15,1408,15.6,2,2,4,2,0,0,3,0,0.13,0.13,0.26,0.13,0.26,B. Chilwell,B. Chilwell,34.0,"Thigh Injury, Muscle Injury, Knee Injury",1
ENG-Premier League,2223,Chelsea,Benoît Badiashile,FRA,DF,21,2001,11,10,905,10.1,1,0,1,1,0,0,2,0,0.1,0.0,0.1,0.1,0.1,B. Badiashile,B. Badiashile,14.0,Groin Injury,1
ENG-Premier League,2223,Chelsea,Carney Chukwuemeka,AUT,MF,18,2003,14,2,354,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C. Chukwuemeka,C. Chukwuemeka,29.0,"Illness, Thigh Injury, Muscle Injury, Knee Injury, Injury",1
ENG-Premier League,2223,Chelsea,Christian Pulisic,USA,"MF,FW",23,1998,24,8,821,9.1,1,1,2,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,C. Pulisic,C. Pulisic,8.0,Knee Injury,1
ENG-Premier League,2223,Chelsea,Conor Gallagher,ENG,MF,22,2000,35,18,1621,18.0,3,1,4,3,0,0,11,1,0.17,0.06,0.22,0.17,0.22,C. Gallagher,C. Gallagher,2.0,Red Card,1
ENG-Premier League,2223,Chelsea,César Azpilicueta,ESP,"DF,MF",32,1989,25,16,1527,17.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,C. Azpilicueta,C. Azpilicueta,7.0,Head Injury,1
ENG-Premier League,2223,Chelsea,David Datro Fofana,CIV,FW,19,2002,3,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,D. Datro Fofana,,0.0,None,0
ENG-Premier League,2223,Chelsea,Denis Zakaria,SUI,MF,25,1996,7,5,411,4.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,D. Zakaria,D. Zakaria,5.0,"Coach's decision, Muscle Injury",1
ENG-Premier League,2223,Chelsea,Edouard Mendy,SEN,GK,30,1992,10,9,855,9.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,E. Mendy,E. Mendy,14.0,"Knee Injury, Shoulder Injury, Finger Injury",1
ENG-Premier League,2223,Chelsea,Enzo Fernández,ARG,MF,21,2001,18,18,1547,17.2,0,2,2,0,0,0,3,0,0.0,0.12,0.12,0.0,0.12,E. Fernández,,0.0,None,0
ENG-Premier League,2223,Chelsea,Hakim Ziyech,MAR,"MF,FW",29,1993,18,6,661,7.3,0,3,3,0,0,0,1,0,0.0,0.41,0.41,0.0,0.41,H. Ziyech,H. Ziyech,1.0,Rest,1
ENG-Premier League,2223,Chelsea,Jorginho,ITA,MF,30,1991,18,15,1279,14.2,2,0,2,0,2,2,4,0,0.14,0.0,0.14,0.0,0.0,Jorginho,,0.0,None,0
ENG-Premier League,2223,Chelsea,João Félix,POR,"FW,MF",22,1999,16,11,941,10.5,4,0,4,4,0,0,1,1,0.38,0.0,0.38,0.38,0.38,J. Félix,,0.0,None,0
ENG-Premier League,2223,Chelsea,Kai Havertz,GER,"FW,MF",23,1999,35,30,2569,28.5,7,1,8,6,1,1,5,0,0.25,0.04,0.28,0.21,0.25,K. Havertz,K. Havertz,2.0,"Knee Injury, Yellow Cards",1
ENG-Premier League,2223,Chelsea,Kalidou Koulibaly,SEN,DF,31,1991,23,20,1800,20.0,2,1,3,2,0,0,7,1,0.1,0.05,0.15,0.1,0.15,K. Koulibaly,K. Koulibaly,7.0,"Red Card, Knee Injury, Injury, Thigh Injury",1
ENG-Premier League,2223,Chelsea,Kepa Arrizabalaga,ESP,GK,27,1994,29,29,2565,28.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,K. Arrizabalaga,K. Arrizabalaga,2.0,Injury,1
ENG-Premier League,2223,Chelsea,Lewis Hall,ENG,"MF,DF",17,2004,9,8,654,7.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,L. Hall,L. Hall,2.0,Loan agreement,1
ENG-Premier League,2223,Chelsea,Marc Cucurella,ESP,"DF,MF",24,1998,24,21,1671,18.6,0,2,2,0,0,0,4,0,0.0,0.11,0.11,0.0,0.11,M. Cucurella,M. Cucurella,17.0,"Illness, Thigh Injury, Yellow Cards, Ankle Injury",1
ENG-Premier League,2223,Chelsea,Mason Mount,ENG,MF,23,1999,24,20,1648,18.3,3,2,5,3,0,0,4,0,0.16,0.11,0.27,0.16,0.27,M. Mount,M. Mount,36.0,"Injury, Abdominal strain, Muscle Injury, Pelvis Injury, Hamstring Injury",1
ENG-Premier League,2223,Chelsea,Mateo Kovačić,CRO,MF,28,1994,27,17,1707,19.0,1,2,3,1,0,0,8,0,0.05,0.11,0.16,0.05,0.16,M. Kovačić,,0.0,None,0
ENG-Premier League,2223,Chelsea,Mykhailo Mudryk,UKR,"FW,MF",21,2001,15,7,657,7.3,0,2,2,0,0,0,1,0,0.0,0.27,0.27,0.0,0.27,M. Mudryk,M. Mudryk,3.0,"Injury, Muscle Injury, Head Injury",1
ENG-Premier League,2223,Chelsea,N'Golo Kanté,FRA,MF,31,1991,7,6,518,5.8,0,1,1,0,0,0,1,0,0.0,0.17,0.17,0.0,0.17,N. Kanté,,0.0,None,0
ENG-Premier League,2223,Chelsea,Noni Madueke,ENG,"FW,MF",20,2002,12,7,643,7.1,1,0,1,1,0,0,0,0,0.14,0.0,0.14,0.14,0.14,N. Madueke,N. Madueke,3.0,"Muscle Injury, Injury",1
ENG-Premier League,2223,Chelsea,Omari Hutchinson,ENG,MF,18,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,O. Hutchinson,,0.0,None,0
ENG-Premier League,2223,Chelsea,Pierre-Emerick Aubameyang,GAB,FW,33,1989,15,5,554,6.2,1,0,1,1,0,0,1,0,0.16,0.0,0.16,0.16,0.16,P. Aubameyang,P. Aubameyang,5.0,"Face Injury, Back Injury",1
ENG-Premier League,2223,Chelsea,Raheem Sterling,ENG,"FW,MF",27,1994,28,23,1891,21.0,6,3,9,6,0,0,4,0,0.29,0.14,0.43,0.29,0.43,R. Sterling,R. Sterling,11.0,"Thigh Injury, Knee Injury, Yellow Cards, Illness, Back Injury",1
ENG-Premier League,2223,Chelsea,Reece James,ENG,"DF,MF",22,1999,16,14,1244,13.8,1,1,2,1,0,0,4,0,0.07,0.07,0.14,0.07,0.14,R. James,R. James,48.0,"Knee Injury, Thigh Injury, Illness, Hamstring Injury, Suspended, Red Card",1
ENG-Premier League,2223,Chelsea,Ruben Loftus-Cheek,ENG,MF,26,1996,25,19,1536,17.1,0,1,1,0,0,0,1,0,0.0,0.06,0.06,0.0,0.06,R. Loftus-Cheek,R. Loftus-Cheek,4.0,Calf Injury,1
ENG-Premier League,2223,Chelsea,Thiago Silva,BRA,DF,37,1984,27,26,2352,26.1,0,2,2,0,0,0,2,0,0.0,0.08,0.08,0.0,0.08,T. Silva,T. Silva,8.0,"Knee Injury, Groin Injury",1
ENG-Premier League,2223,Chelsea,Trevoh Chalobah,ENG,DF,23,1999,25,18,1608,17.9,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,T. Chalobah,T. Chalobah,23.0,"Injury, Thigh Injury",1
ENG-Premier League,2223,Chelsea,Wesley Fofana,FRA,DF,21,2000,15,12,1183,13.1,1,0,1,1,0,0,3,0,0.08,0.0,0.08,0.08,0.08,W. Fofana,W. Fofana,55.0,"Personal Reasons, Knee Injury, Thigh Injury, Leg Injury",1
ENG-Premier League,2223,Crystal Palace,Albert Sambi Lokonga,BEL,MF,22,1999,9,6,536,6.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,A. Sambi Lokonga,,0.0,None,0
ENG-Premier League,2223,Crystal Palace,Cheick Doucouré,MLI,MF,22,2000,34,34,2769,30.8,0,3,3,0,0,0,10,1,0.0,0.1,0.1,0.0,0.1,C. Doucouré,,0.0,None,0
ENG-Premier League,2223,Crystal Palace,Chris Richards,USA,DF,22,2000,9,4,447,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C. Richards,C. Richards,11.0,"Leg Injury, Injury, Knee Injury",1
ENG-Premier League,2223,Crystal Palace,David Ozoh,ENG,MF,17,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,D. Ozoh,,0.0,None,0
ENG-Premier League,2223,Crystal Palace,Eberechi Eze,ENG,"MF,FW",24,1998,38,30,2636,29.3,10,4,14,9,1,1,3,0,0.34,0.14,0.48,0.31,0.44,E. Eze,E. Eze,11.0,"Muscle Injury, Ankle Injury, Thigh Injury, Knee Injury",1
ENG-Premier League,2223,Crystal Palace,James McArthur,SCO,MF,34,1987,4,0,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,J. McArthur,J. McArthur,24.0,"Groin Injury, Knock, Hamstring Injury",1
ENG-Premier League,2223,Crystal Palace,James Tomkins,ENG,DF,33,1989,6,3,338,3.8,1,0,1,1,0,0,3,1,0.27,0.0,0.27,0.27,0.27,J. Tomkins,J. Tomkins,19.0,"Muscle Injury, Red Card, Calf Injury",1
ENG-Premier League,2223,Crystal Palace,Jaïro Riedewald,NED,"DF,MF",25,1996,6,0,64,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,J. Riedewald,,0.0,None,0
ENG-Premier League,2223,Crystal Palace,Jean-Philippe Mateta,FRA,FW,25,1997,29,6,770,8.6,2,0,2,2,0,0,3,0,0.23,0.0,0.23,0.23,0.23,J. Mateta,,0.0,None,0
ENG-Premier League,2223,Crystal Palace,Jeffrey Schlupp,GHA,MF,29,1992,34,30,2531,28.1,3,1,4,3,0,0,7,0,0.11,0.04,0.14,0.11,0.14,J. Schlupp,J. Schlupp,5.0,"Knock, Thigh Injury",1
ENG-Premier League,2223,Crystal Palace,Joachim Andersen,DEN,DF,26,1996,32,32,2782,30.9,1,0,1,1,0,0,8,0,0.03,0.0,0.03,0.03,0.03,J. Andersen,J. Andersen,4.0,Calf Injury,1
